"dem","slope","aspect","landcover","sample_id","X","Y"
4007,6.08248022070424,71.8066357127875,40,1,-75.3735766031883,-11.6980728858414
4009,15.0269900199747,220.341867139916,40,2,-75.3728970483185,-11.6980728858414
4002,3.68810538362118,84.0747416015708,40,3,-75.3728970483185,-11.6987524407111
3951,3.61726579915002,341.320337577722,40,4,-75.3674606093602,-11.7041888796695
3969,21.051794249932,356.733127437131,40,5,-75.3667810544904,-11.7048684345393
4068,32.9873301713063,347.540384348417,40,6,-75.3661014996206,-11.7062275442789
4108,29.0937241956054,3.12873698520834,40,7,-75.3667810544904,-11.7069070991487
4113,28.8660849365196,347.089107981689,40,8,-75.3661014996206,-11.7069070991487
3876,5.96632520381049,189.290826064737,40,9,-75.3749357129279,-11.7075866540185
3869,4.56405274731273,153.648844611339,40,10,-75.3756152677977,-11.7082662088883
3874,8.10275291637692,294.139509263234,40,11,-75.3749357129279,-11.7082662088883
3861,8.51572625743299,297.09801001565,40,12,-75.3769743775373,-11.7096253186279
3799,16.2206729139231,246.404622024027,40,13,-75.4061952369386,-11.7150617575863
3755,6.61537217999891,163.952688116183,40,14,-75.3905654749333,-11.7177799770655
3687,3.68878287078119,231.736998955488,40,15,-75.3973610236312,-11.7218573062843
3643,12.3625506647755,141.421329172663,40,16,-75.404836127199,-11.7252550806332
3513,8.14719806464892,322.200235478318,40,17,-75.4265818830325,-11.7272937452426
3521,14.9211393754962,350.523725235448,40,18,-75.4252227732929,-11.7272937452426
3548,2.46110691258502,308.262455962741,40,19,-75.4197863343345,-11.7272937452426
3506,3.8118029562957,182.903393819871,40,20,-75.4279409927721,-11.7279733001124
3496,3.66679792394266,318.832292398792,40,21,-75.4299796573815,-11.729332409852
3501,5.98063107539349,321.084710383817,40,22,-75.4293001025117,-11.729332409852
3506,7.8551956059572,320.506067752614,40,23,-75.4286205476419,-11.729332409852
3514,12.5681539914322,306.650750892351,40,24,-75.4279409927721,-11.729332409852
3608,6.86494684069989,78.8460450023545,40,25,-75.4530845229546,-11.7300119647218
3473,4.11977196203044,186.72683459663,40,26,-75.4367752060795,-11.7300119647218
3478,2.69200938811837,207.809977314165,40,27,-75.4354160963399,-11.7300119647218
3504,7.79429493542301,329.640265209559,40,28,-75.4299796573815,-11.7300119647218
3517,11.4754387151834,322.64268607888,40,29,-75.4286205476419,-11.7300119647218
3620,7.1445934185463,25.5171508887862,40,30,-75.4537640778244,-11.7306915195916
3612,10.9764296581643,71.4973857814999,40,31,-75.4530845229546,-11.7306915195916
3499,11.5148019411508,335.011914981522,40,32,-75.4320183219909,-11.7306915195916
3629,8.76464824591253,41.8841628568496,40,33,-75.4537640778244,-11.7313710744614
3617,13.7266268955701,73.7861325374862,40,34,-75.4530845229546,-11.7313710744614
3468,10.0074231046923,166.168692955971,40,35,-75.4449298645171,-11.7313710744614
3495,12.9824666409318,334.416008568904,40,36,-75.4333774317305,-11.7313710744614
3637,10.6864876979033,56.2638099983533,40,37,-75.4537640778244,-11.7320506293312
3460,6.73094610171,160.801230935562,40,38,-75.4456094193869,-11.7320506293312
3457,5.89502681038191,161.909961944604,40,39,-75.4449298645171,-11.7320506293312
3457,1.29325408567111,243.760289690296,40,40,-75.4422116450379,-11.7320506293312
3463,2.71411179964932,297.141449844631,40,41,-75.4401729804285,-11.7320506293312
3987,7.39018785959144,339.435176952985,40,42,-75.3987201333708,-11.732730184201
3992,8.05347246934586,298.052539416845,40,43,-75.3987201333708,-11.7334097390708
3678,6.282817055365,66.8680160694217,40,44,-75.455123187564,-11.7340892939406
3447,4.95403021076152,125.15203361479,40,45,-75.448327638866,-11.7340892939406
3444,2.88300066022569,172.297550079828,40,46,-75.4469685291264,-11.7340892939406
3476,12.8101621603198,298.872360777101,40,47,-75.4394934255587,-11.7340892939406
3984,1.85844090456167,261.152426961177,40,48,-75.4021179077198,-11.7340892939406
3445,3.73840973138362,147.157456640069,40,49,-75.448327638866,-11.7347688488104
3450,1.35739983679817,225.408693338749,40,50,-75.4442503096473,-11.7347688488104
3456,11.3141260421455,301.58840174288,40,51,-75.4422116450379,-11.7354484036802
3446,1.58139538907553,205.331678055417,40,52,-75.4442503096473,-11.73612795855
3438,3.30728538030057,234.848230495412,40,53,-75.4456094193869,-11.7368075134198
3446,3.09672541056761,266.474222548902,40,54,-75.4435707547775,-11.7368075134198
3431,2.21021664020681,172.462957494903,40,55,-75.4496867486056,-11.7374870682896
3428,2.7636340893067,177.996686961266,40,56,-75.4503663034754,-11.7381666231594
3427,6.3741316505585,148.082575476069,40,57,-75.4530845229546,-11.7388461780292
3430,2.10484473898798,185.268739455508,40,58,-75.448327638866,-11.739525732899
3428,2.11195017569285,198.681872815379,40,59,-75.4469685291264,-11.739525732899
3431,2.48168579467997,234.84849466769,40,60,-75.4462889742566,-11.739525732899
3434,2.38209100701218,248.905639956291,40,61,-75.4456094193869,-11.739525732899
3423,1.28225055456595,206.893865918834,40,62,-75.4530845229546,-11.7402052877688
3420,2.58819743931417,140.608124983745,40,63,-75.451725413215,-11.7402052877688
3418,1.9153369454857,185.792206357728,40,64,-75.4510458583452,-11.7402052877688
3418,1.23115848263666,231.738907868681,40,65,-75.455123187564,-11.7408848426386
3419,0.950281171162711,225.409324582282,40,66,-75.4544436326942,-11.7408848426386
3417,2.71475866408495,137.454831651886,40,67,-75.451725413215,-11.7408848426386
3416,1.83856720695612,208.237160371518,40,68,-75.4510458583452,-11.7408848426386
3437,1.63247387213768,220.64051511713,40,69,-75.4442503096473,-11.7408848426386
3412,5.74809797387534,144.074156700142,40,70,-75.4571618521734,-11.7415643975084
3415,2.89227579642796,214.597433846552,40,71,-75.4558027424338,-11.7415643975084
3417,2.78237920156754,202.45391274092,40,72,-75.455123187564,-11.7415643975084
3418,2.77708933241276,185.990538272777,40,73,-75.4537640778244,-11.7415643975084
3414,2.49425706493855,147.156817386224,40,74,-75.451725413215,-11.7415643975084
3423,1.7889864270569,234.135789258987,40,75,-75.448327638866,-11.7415643975084
3426,1.94233538698075,264.369912599139,40,76,-75.4476480839962,-11.7415643975084
3429,1.28880642962744,282.816361526747,40,77,-75.4469685291264,-11.7415643975084
3413,3.8118034575836,182.90354282293,40,78,-75.4530845229546,-11.7422439523782
3413,3.17901006350179,171.262220575007,40,79,-75.4524049680848,-11.7422439523782
3420,1.90004454000033,225.409464904559,40,80,-75.4490071937358,-11.7422439523782
3422,2.24549776715176,239.396326422319,40,81,-75.448327638866,-11.7422439523782
3425,2.58526803459968,243.761124151473,40,82,-75.4476480839962,-11.7422439523782
3406,1.5728942253981,165.769808381297,40,83,-75.4571618521734,-11.742923507248
3405,1.83341067578917,170.900326431791,40,84,-75.4564822973036,-11.742923507248
3405,3.32793856958434,193.424310636725,40,85,-75.455123187564,-11.742923507248
3407,3.07150517973721,187.226529871203,40,86,-75.4537640778244,-11.742923507248
3408,2.99128143157915,189.291987168744,40,87,-75.4530845229546,-11.742923507248
3409,2.5065447072317,188.87010638076,40,88,-75.4524049680848,-11.742923507248
3410,1.9231572759404,233.522471285608,40,89,-75.4510458583452,-11.742923507248
3402,1.32980250265159,158.686544370517,40,90,-75.4558027424338,-11.7436030621178
3405,1.02849811551589,202.085368393788,40,91,-75.4537640778244,-11.7436030621178
3405,1.11565439899888,211.326394267162,40,92,-75.4530845229546,-11.7436030621178
3406,1.55829294402171,262.975117334916,40,93,-75.4524049680848,-11.7436030621178
3408,2.86549086197108,309.157968242865,40,94,-75.451725413215,-11.7436030621178
3410,4.06250654205191,330.069193888459,40,95,-75.4510458583452,-11.7436030621178
3412,3.14342174560189,345.769774937505,40,96,-75.4503663034754,-11.7436030621178
3416,3.80273780918373,208.840473204397,40,97,-75.448327638866,-11.7436030621178
3419,4.34030175383349,227.198534253274,40,98,-75.4476480839962,-11.7436030621178
3403,1.58140389277577,205.33232923135,40,99,-75.4571618521734,-11.7442826169876
3401,0.305314577138896,108.190538957703,40,100,-75.4558027424338,-11.7442826169876
